1,110,,1
2,78,,1
3,79,,1
4,80,,1
5,86,,1
6,82,,1
7,83,,1
8,87,,1
9,116,,1
10,104,,1
11,125,,1
12,84,,1
13,85,,1
14,91,,1
15,122,,1
16,106,,1
17,109,,1
18,111,,1
19,115,,1
20,123,,1
21,126,,1
22,127,,1
23,128,,1
24,129,,1
25,130,,1
26,135,,1
27,133,,1
28,134,,1
29,136,,1
30,138,,1
31,139,,1
32,142,,1
33,143,,1
34,144,,1
35,145,,1
36,146,,1
37,148,,1
38,149,,1
39,151,,1
40,153,,1
41,159,,1
42,157,,1
43,158,,1
44,160,,1
45,161,,1
46,162,,1
47,163,,1
48,164,,1
49,165,,1
50,166,,1
51,167,,1
52,176,,1
53,177,,1
54,178,,1
55,131,,1
56,137,,1
57,147,,1
58,150,,1
59,189,,1
60,188,,1
