78,2,1
78,5,2
78,6,3
79,60,1
79,61,2
80,62,1
80,63,2
80,64,3
84,73,1
84,74,2
84,75,3
84,76,4
84,77,5
84,78,6
84,79,7
84,80,8
85,81,1
85,82,2
85,83,3
86,84,1
86,85,2
86,86,3
86,87,4
86,88,5
86,89,6
86,90,7
91,97,1
91,98,2
91,99,3
91,100,4
91,101,5
91,102,6
91,103,7
91,104,8
116,156,1
116,157,2
116,158,3
116,159,4
125,203,1
125,204,2
122,209,1
106,117,1
106,118,2
106,119,3
106,120,4
106,121,5
106,122,6
106,123,7
109,124,1
109,125,2
109,126,3
109,127,4
109,128,5
110,129,1
110,130,2
110,131,3
110,132,4
110,133,5
110,134,6
111,60,1
111,61,2
111,135,3
115,138,1
115,139,2
115,140,3
115,141,4
122,210,2
127,211,1
123,212,1
123,213,2
128,241,1
130,243,1
131,249,1
133,253,1
134,254,1
134,255,2
134,256,3
134,257,4
134,258,5
134,259,6
134,260,7
134,261,8
134,262,9
134,263,10
134,264,11
138,335,1
138,336,2
138,337,3
144,439,1
144,440,2
144,441,3
144,442,4
144,443,5
146,449,1
146,450,2
146,451,3
146,452,4
146,453,5
176,722,1
145,499,2
145,500,3
145,501,4
145,502,5
143,507,1
143,508,2
159,559,1
158,539,1
158,540,2
158,541,3
158,542,4
158,543,5
149,554,1
149,555,2
149,556,3
149,557,4
149,558,5
159,560,2
159,561,3
159,562,4
159,563,5
159,564,6
160,598,1
160,599,2
160,600,3
160,601,4
160,602,5
160,603,6
160,604,7
160,605,8
160,606,9
160,607,10
160,608,11
161,611,1
161,612,2
163,650,1
163,651,2
163,652,3
163,653,4
163,654,5
164,679,1
164,680,2
164,681,3
164,682,4
164,683,5
164,684,6
165,685,1
165,686,2
165,687,3
165,688,4
165,689,5
166,690,1
166,691,2
167,703,1
167,704,2
167,705,3
167,706,4
167,707,5
167,708,6
167,709,7
167,710,8
167,711,9
167,712,10
167,713,11
176,723,2
176,724,3
177,726,1
177,727,2
177,728,3
177,729,4
177,730,5
177,731,6
177,732,7
178,733,1
178,734,2
178,735,3
178,736,4
178,737,5
178,738,6
178,739,7
178,740,8
189,741,1
189,742,2
189,743,3
125,205,3
125,206,4
104,110,1
104,114,2
104,111,3
82,65,1
82,66,2
82,67,3
82,68,4
83,69,1
83,70,2
83,71,3
83,72,4
104,115,4
104,113,5
104,116,6
151,520,1
157,529,1
157,530,2
157,531,3
157,532,4
157,533,5
87,91,1
87,92,2
87,93,3
87,94,4
87,95,5
87,96,6
136,330,1
142,373,1
129,239,1
129,240,2
142,374,2
142,375,3
142,376,4
142,377,5
142,378,6
147,491,1
147,492,2
162,633,1
162,634,2
135,321,1
135,322,2
135,323,3
135,324,4
135,325,5
135,326,6
135,327,7
135,328,8
137,331,1
137,332,2
137,333,3
137,334,4
139,338,1
139,339,2
139,340,3
139,341,4
139,342,5
148,519,1
